minute,rssMb,heapMb,externalMb,lagP50Ms,lagP99Ms,lagMaxMs,snapshotBytes,games,gamesPerMin,sockets,errors
1,103,32,8,31,33,40,4006,124,124,3,0
2,118,25,7,31,33,38,4006,249,125,3,0
3,146,38,9,31,34,41,4620,371,122,3,0
4,144,35,8,31,34,51,4619,496,125,3,0
5,197,72,13,31,33,44,3913,621,125,3,0
6,198,28,8,31,33,43,4006,743,122,3,0
7,196,36,8,31,33,42,4006,868,125,3,0
8,199,46,10,31,34,46,3913,993,125,3,0
9,198,50,9,31,33,42,4630,1115,122,3,0
10,200,60,12,31,34,47,4009,1240,125,3,0
11,199,50,9,31,33,46,4571,1363,123,3,0
12,199,35,9,31,34,75,4629,1487,124,3,0
13,201,64,12,31,33,46,4009,1612,125,3,0
14,200,45,9,31,34,41,4625,1734,122,3,0
15,200,54,11,31,33,36,4009,1859,125,3,0
16,200,60,10,31,34,42,4009,1984,125,3,0
17,200,53,11,31,33,41,4571,2107,123,3,0
18,197,38,8,31,33,39,4009,2231,124,3,0
19,200,48,10,31,33,37,4009,2356,125,3,0
20,199,52,9,31,33,45,4571,2479,123,3,0
21,202,62,12,31,33,48,4625,2603,124,3,0
22,201,64,11,31,33,54,4009,2726,123,3,0
23,202,58,11,31,33,36,4009,2851,125,3,0
24,201,64,11,31,33,42,4009,2976,125,3,0
25,203,71,13,31,33,36,3916,3099,123,3,0
26,199,29,8,31,33,37,4622,3223,124,3,0
27,199,32,7,31,33,46,4009,3346,123,3,0
28,202,43,10,31,33,48,4623,3471,125,3,0
29,198,27,7,31,33,60,4620,3594,123,3,0
30,202,36,9,31,33,40,4009,3719,125,3,0
31,202,59,11,31,33,39,4009,3842,123,3,0
32,201,65,11,31,34,49,4009,3967,125,3,0
33,203,74,13,31,33,41,4009,4092,125,3,0
34,201,61,10,31,33,42,4628,4214,122,3,0
35,203,70,13,31,33,41,4009,4339,125,3,0
36,202,27,8,31,34,44,4009,4464,125,3,0
37,199,30,7,31,34,48,4627,4586,122,3,0
38,202,39,9,31,34,42,4626,4711,125,3,0
39,199,42,8,31,34,45,4009,4834,123,3,0
40,201,51,11,31,33,48,4009,4959,125,3,0
41,203,75,13,31,33,54,4009,5084,125,3,0
42,199,28,8,31,33,37,4009,5206,122,3,0
43,198,34,8,31,34,42,4009,5331,125,3,0
44,200,40,9,31,33,38,4571,5454,123,3,0
45,199,46,9,31,34,40,4571,5579,125,3,0
46,204,54,11,31,34,44,4009,5703,124,3,0
47,201,57,10,31,33,47,4009,5826,123,3,0
48,203,66,12,31,34,45,4009,5951,125,3,0
49,204,69,11,31,33,37,4571,6074,123,3,0
50,198,26,7,31,33,51,4629,6198,124,3,0
51,204,35,9,31,33,39,4009,6323,125,3,0
52,199,37,8,31,33,40,4620,6445,122,3,0
53,202,45,10,31,33,36,4009,6570,125,3,0
54,204,50,9,31,33,39,4009,6695,125,3,0
55,202,57,11,31,33,43,4009,6818,123,3,0
56,198,28,7,31,33,50,4630,6942,124,3,0
57,204,34,9,31,33,48,4009,7065,123,3,0
58,198,40,8,31,34,38,4009,7190,125,3,0
59,200,54,10,31,33,43,4009,7315,125,3,0
60,202,60,11,31,34,36,4619,7437,122,3,0
